rho_th,IA_th,count_in,count_in_CI,count_out,r2_in,r2in_CI,r2_out,r2out_CI
0.047583211213350296,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.06622770944466957,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.08487220767598885,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.10351670590730815,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.12216120413862742,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.14080570236994672,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.159450200601266,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.17809469883258527,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.19673919706390455,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.21538369529522383,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.2340281935265431,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.2526726917578624,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.2713171899891817,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.28996168822050095,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
0.30860618645182025,0.534061916067525,0.4,0.9048628651416396,938.6,-6969.35546875,15765.7773941092,0.6413990676403045,0.051110363199693705
