rho_th,IA_th,count_in,count_in_CI,count_out,r2_in,r2in_CI,r2_out,r2out_CI
2.513080715749183e-11,4.322243850938249e-10,0.1,0.2262157162854099,903.9,0.0,0.0,0.6249623656272888,0.026104036887666406
0.0014429009549461103,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0028858018847614133,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.004328702814576716,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0057716037443920195,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.007214504674207323,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.008657405604022625,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.010100306533837929,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.011543207463653232,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.012986108393468535,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.014429009323283839,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.015871910253099142,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.017314811182914443,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.01875771211272975,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02020061304254505,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.021643513972360355,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.023086414902175657,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.024529315831990958,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.025972216761806263,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.027415117691621565,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02885801862143687,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03030091955125217,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.031743820481067477,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03318672141088278,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03462962234069808,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.036072523270513385,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03751542420032869,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03895832513014399,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04040122605995929,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0418441269897746,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0432870279195899,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0447299288494052,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.046172829779220506,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04761573070903581,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04905863163885111,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.050501532568666414,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05194443349848172,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.053387334428297024,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05483023535811232,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05627313628792763,4.322243850938249e-10,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
2.513080715749183e-11,0.09315226121395798,1.2,0.8793686396787984,902.8,-70.27300072908402,158.37733826748487,0.6264355897903442,0.025949321885349198
0.0014429009549461103,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0028858018847614133,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.004328702814576716,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0057716037443920195,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.007214504674207323,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.008657405604022625,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.010100306533837929,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.011543207463653232,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.012986108393468535,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.014429009323283839,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.015871910253099142,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.017314811182914443,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.01875771211272975,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02020061304254505,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.021643513972360355,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.023086414902175657,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.024529315831990958,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.025972216761806263,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.027415117691621565,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02885801862143687,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03030091955125217,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.031743820481067477,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03318672141088278,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03462962234069808,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.036072523270513385,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03751542420032869,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03895832513014399,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04040122605995929,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0418441269897746,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0432870279195899,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0447299288494052,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.046172829779220506,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04761573070903581,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04905863163885111,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.050501532568666414,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05194443349848172,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.053387334428297024,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05483023535811232,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05627313628792763,0.09315226121395798,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
2.513080715749183e-11,0.18630452199569159,2.1,1.9503590879355355,901.9,-1.0390958547592164,1.9650151336496584,0.6270696461200714,0.025983687161634066
0.0014429009549461103,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0028858018847614133,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.004328702814576716,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0057716037443920195,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.007214504674207323,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.008657405604022625,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.010100306533837929,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.011543207463653232,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.012986108393468535,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.014429009323283839,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.015871910253099142,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.017314811182914443,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.01875771211272975,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02020061304254505,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.021643513972360355,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.023086414902175657,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.024529315831990958,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.025972216761806263,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.027415117691621565,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02885801862143687,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03030091955125217,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.031743820481067477,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03318672141088278,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03462962234069808,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.036072523270513385,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03751542420032869,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03895832513014399,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04040122605995929,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0418441269897746,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0432870279195899,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0447299288494052,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.046172829779220506,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04761573070903581,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.04905863163885111,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.050501532568666414,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05194443349848172,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.053387334428297024,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05483023535811232,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.05627313628792763,0.18630452199569159,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
2.513080715749183e-11,0.27945678277742514,6.6,5.674964403884127,897.4,-0.12860518097877502,0.16924526778832052,0.6289478659629821,0.026419645369335026
0.0014429009549461103,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0028858018847614133,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.004328702814576716,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.0057716037443920195,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.007214504674207323,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.008657405604022625,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.010100306533837929,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.011543207463653232,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.012986108393468535,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.014429009323283839,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.015871910253099142,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.017314811182914443,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.01875771211272975,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02020061304254505,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.021643513972360355,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.023086414902175657,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.024529315831990958,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.025972216761806263,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.027415117691621565,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.02885801862143687,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03030091955125217,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.031743820481067477,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03318672141088278,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
0.03462962234069808,0.27945678277742514,0.0,0.0,904.0,0.0,0.0,0.6249600112438202,0.026102462788037375
